id,name,color
239,Acura ok,10
240,Têxtil,6
241,Lead Haco,0
242,Maquintex 2023,7
243,Infanto Juvenil,9
244,Bazar La Boutique 2023.2,7
245,RFLog Estoque,4
246,Alpha,3
247,RFLog Ativos,4
248,ERP Próprio,3
249,Hasar ok,10
250,Taylor,3
251,Agreste Tex 2024,7
252,Bling,3
253,Jetro,3
254,Gera cloud,3
255,Falta apresentar proposta,1
256,Maximum,3
257,Linx,3
258,VarejOnline,3
259,Tiny ERP,3
260,GCWeb,3
261,Procfit,3
262,Millennium - Linx,3
263,Bolsas e Calçados,9
264,Sys Têxtil,3
265,Data System,3
266,Totvs,3
267,Pratick Sistemas,3
268,Bazar La Boutique 2024.1,7
269,Casual,9
270,Fitness,9
271,Beachwear,9
272,Praia/Surfwear,9
273,Agronegócio,6
274,Lingerie,9
275,Jóias,9
276,CEM -2024,7
277,Lavanderia,6
278,Orgão Público,6
279,Tecelagem,9
280,Projeto/Desenvolvimento,6
281,Outra Cidade,1
282,Indústria,6
283,Sapataria,9
284,Cadastrar empresas equipamentos,10
285,Jeanswear,9
286,Haco ñ aprovado,10
287,Prioridade,1
288,Parceria ES,0
289,Haco ok,10
290,Bazar La Boutique 2023.1,7
291,RFLog Varejo Inteligente,4
292,WCD,3
